统计时段,起始时间(s),结束时间(s),采集时间(s),排队车数,排队长度(m)
1,1,200,1,0,0.00
1,1,200,2,0,0.00
1,1,200,3,0,0.00
1,1,200,4,0,0.00
1,1,200,5,0,0.00
1,1,200,6,0,0.00
1,1,200,7,0,0.00
1,1,200,8,0,0.00
1,1,200,9,0,0.00
1,1,200,10,0,0.00
1,1,200,11,0,0.00
1,1,200,12,0,0.00
1,1,200,13,0,0.00
1,1,200,14,0,0.00
1,1,200,15,0,0.00
1,1,200,16,0,0.00
1,1,200,17,0,0.00
1,1,200,18,0,0.00
1,1,200,19,0,0.00
1,1,200,20,0,0.00
1,1,200,21,0,0.00
1,1,200,22,0,0.00
1,1,200,23,0,0.00
1,1,200,24,0,0.00
1,1,200,25,0,0.00
1,1,200,26,0,0.00
1,1,200,27,0,0.00
1,1,200,28,0,0.00
1,1,200,29,0,0.00
1,1,200,30,0,0.00
1,1,200,31,0,0.00
1,1,200,32,0,0.00
1,1,200,33,0,0.00
1,1,200,34,0,0.00
1,1,200,35,0,0.00
1,1,200,36,0,0.00
1,1,200,37,0,0.00
1,1,200,38,0,0.00
1,1,200,39,0,0.00
1,1,200,40,0,0.00
1,1,200,41,0,0.00
1,1,200,42,0,0.00
1,1,200,43,0,0.00
1,1,200,44,0,0.00
1,1,200,45,0,0.00
1,1,200,46,0,0.00
1,1,200,47,0,0.00
1,1,200,48,0,0.00
1,1,200,49,0,0.00
1,1,200,50,0,0.00
1,1,200,51,0,0.00
1,1,200,52,0,0.00
1,1,200,53,0,0.00
1,1,200,54,0,0.00
1,1,200,55,0,0.00
1,1,200,56,0,0.00
1,1,200,57,0,0.00
1,1,200,58,0,0.00
1,1,200,59,0,0.00
1,1,200,60,0,0.00
1,1,200,61,1,4.70
1,1,200,62,1,4.70
1,1,200,63,1,4.70
1,1,200,64,1,4.70
1,1,200,65,1,4.70
1,1,200,66,1,4.70
1,1,200,67,1,4.70
1,1,200,68,1,4.70
1,1,200,69,1,4.70
1,1,200,70,1,4.70
1,1,200,71,1,4.70
1,1,200,72,1,4.70
1,1,200,73,1,4.70
1,1,200,74,1,4.70
1,1,200,75,1,4.70
1,1,200,76,1,4.70
1,1,200,77,1,4.70
1,1,200,78,1,4.70
1,1,200,79,1,4.70
1,1,200,80,1,4.70
1,1,200,81,1,4.70
1,1,200,82,1,4.70
1,1,200,83,1,4.70
1,1,200,84,1,4.70
1,1,200,85,1,4.70
1,1,200,86,1,4.70
1,1,200,87,1,4.70
1,1,200,88,1,4.70
1,1,200,89,1,4.70
1,1,200,90,1,4.70
1,1,200,91,1,4.70
1,1,200,92,1,4.70
1,1,200,93,1,4.70
1,1,200,94,1,4.70
1,1,200,95,1,4.70
1,1,200,96,1,4.70
1,1,200,97,1,4.70
1,1,200,98,1,4.70
1,1,200,99,1,4.70
1,1,200,100,1,4.70
1,1,200,101,1,4.70
1,1,200,102,1,4.70
1,1,200,103,1,4.70
1,1,200,104,1,4.70
1,1,200,105,1,4.70
1,1,200,106,2,12.69
1,1,200,107,2,11.64
1,1,200,108,2,11.15
1,1,200,109,2,10.88
1,1,200,110,2,10.74
1,1,200,111,3,20.15
1,1,200,112,3,19.16
1,1,200,113,3,18.55
1,1,200,114,3,18.31
1,1,200,115,3,18.16
