统计时段,起始时间(s),结束时间(s),采集时间(s),排队车数,排队长度(m)
1,1,200,1,0,0.00
1,1,200,2,0,0.00
1,1,200,3,0,0.00
1,1,200,4,0,0.00
1,1,200,5,0,0.00
1,1,200,6,0,0.00
1,1,200,7,0,0.00
1,1,200,8,0,0.00
1,1,200,9,0,0.00
1,1,200,10,0,0.00
1,1,200,11,0,0.00
1,1,200,12,0,0.00
1,1,200,13,0,0.00
1,1,200,14,0,0.00
1,1,200,15,0,0.00
1,1,200,16,0,0.00
1,1,200,17,0,0.00
1,1,200,18,0,0.00
1,1,200,19,0,0.00
1,1,200,20,0,0.00
1,1,200,21,0,0.00
1,1,200,22,0,0.00
1,1,200,23,0,0.00
1,1,200,24,0,0.00
1,1,200,25,0,0.00
1,1,200,26,0,0.00
1,1,200,27,0,0.00
1,1,200,28,0,0.00
1,1,200,29,0,0.00
1,1,200,30,0,0.00
1,1,200,31,0,0.00
1,1,200,32,0,0.00
1,1,200,33,0,0.00
1,1,200,34,0,0.00
1,1,200,35,0,0.00
1,1,200,36,0,0.00
1,1,200,37,0,0.00
1,1,200,38,0,0.00
1,1,200,39,0,0.00
1,1,200,40,0,0.00
1,1,200,41,0,0.00
1,1,200,42,0,0.00
1,1,200,43,0,0.00
1,1,200,44,0,0.00
1,1,200,45,0,0.00
1,1,200,46,0,0.00
1,1,200,47,0,0.00
1,1,200,48,0,0.00
1,1,200,49,0,0.00
1,1,200,50,0,0.00
1,1,200,51,0,0.00
1,1,200,52,0,0.00
1,1,200,53,1,4.07
1,1,200,54,1,4.07
1,1,200,55,1,4.07
1,1,200,56,1,4.07
1,1,200,57,1,4.07
1,1,200,58,1,4.07
1,1,200,59,2,12.48
1,1,200,60,2,11.12
1,1,200,61,2,10.64
1,1,200,62,2,10.43
1,1,200,63,2,10.36
1,1,200,64,2,10.34
1,1,200,65,2,10.34
1,1,200,66,2,10.33
1,1,200,67,2,10.33
1,1,200,68,2,10.33
1,1,200,69,2,10.33
1,1,200,70,2,10.33
1,1,200,71,2,10.33
1,1,200,72,2,10.33
1,1,200,73,3,17.57
1,1,200,74,3,16.84
1,1,200,75,3,16.51
1,1,200,76,3,16.42
1,1,200,77,3,16.38
1,1,200,78,3,16.37
1,1,200,79,3,16.37
1,1,200,80,3,16.37
1,1,200,81,3,16.37
1,1,200,82,3,16.37
1,1,200,83,3,16.37
1,1,200,84,3,16.37
1,1,200,85,3,16.37
1,1,200,86,4,24.91
1,1,200,87,4,23.28
1,1,200,88,4,22.65
1,1,200,89,4,22.43
1,1,200,90,4,22.35
1,1,200,91,4,22.33
1,1,200,92,4,22.32
1,1,200,93,4,22.31
1,1,200,94,4,22.31
1,1,200,95,4,22.31
1,1,200,96,4,22.31
1,1,200,97,4,22.31
1,1,200,98,4,22.31
1,1,200,99,4,22.31
1,1,200,100,4,22.31
1,1,200,101,4,22.31
1,1,200,102,4,22.31
1,1,200,103,4,22.31
1,1,200,104,5,27.93
1,1,200,105,5,27.66
1,1,200,106,5,27.64
1,1,200,107,5,27.64
1,1,200,108,5,27.64
1,1,200,109,5,27.64
1,1,200,110,5,27.64
1,1,200,111,5,27.64
1,1,200,112,5,27.64
1,1,200,113,5,27.64
1,1,200,114,5,27.64
1,1,200,115,5,27.64
