统计时段,起始时间(s),结束时间(s),采集时间(s),排队车数,排队长度(m)
1,1,200,1,0,0.00
1,1,200,2,0,0.00
1,1,200,3,0,0.00
1,1,200,4,0,0.00
1,1,200,5,0,0.00
1,1,200,6,0,0.00
1,1,200,7,0,0.00
1,1,200,8,0,0.00
1,1,200,9,0,0.00
1,1,200,10,0,0.00
1,1,200,11,0,0.00
1,1,200,12,0,0.00
1,1,200,13,0,0.00
1,1,200,14,0,0.00
1,1,200,15,0,0.00
1,1,200,16,0,0.00
1,1,200,17,0,0.00
1,1,200,18,0,0.00
1,1,200,19,0,0.00
1,1,200,20,0,0.00
1,1,200,21,0,0.00
1,1,200,22,0,0.00
1,1,200,23,0,0.00
1,1,200,24,0,0.00
1,1,200,25,0,0.00
1,1,200,26,0,0.00
1,1,200,27,0,0.00
1,1,200,28,0,0.00
1,1,200,29,0,0.00
1,1,200,30,0,0.00
1,1,200,31,0,0.00
1,1,200,32,0,0.00
1,1,200,33,0,0.00
1,1,200,34,0,0.00
1,1,200,35,0,0.00
1,1,200,36,0,0.00
1,1,200,37,0,0.00
1,1,200,38,0,0.00
1,1,200,39,0,0.00
1,1,200,40,0,0.00
1,1,200,41,0,0.00
1,1,200,42,0,0.00
1,1,200,43,0,0.00
1,1,200,44,0,0.00
1,1,200,45,0,0.00
1,1,200,46,0,0.00
1,1,200,47,0,0.00
1,1,200,48,0,0.00
1,1,200,49,0,0.00
1,1,200,50,0,0.00
1,1,200,51,0,0.00
1,1,200,52,0,0.00
1,1,200,53,0,0.00
1,1,200,54,0,0.00
1,1,200,55,0,0.00
1,1,200,56,0,0.00
1,1,200,57,0,0.00
1,1,200,58,0,0.00
1,1,200,59,0,0.00
1,1,200,60,0,0.00
1,1,200,61,0,0.00
1,1,200,62,0,0.00
1,1,200,63,0,0.00
1,1,200,64,0,0.00
1,1,200,65,0,0.00
1,1,200,66,1,4.11
1,1,200,67,2,13.94
1,1,200,68,2,12.71
1,1,200,69,2,12.10
1,1,200,70,2,11.79
1,1,200,71,2,11.57
1,1,200,72,2,11.46
1,1,200,73,2,11.40
1,1,200,74,2,11.37
1,1,200,75,2,11.35
1,1,200,76,2,11.34
1,1,200,77,2,11.34
1,1,200,78,2,11.34
1,1,200,79,2,11.33
1,1,200,80,2,11.33
1,1,200,81,2,11.33
1,1,200,82,2,11.33
1,1,200,83,2,11.33
1,1,200,84,2,11.33
1,1,200,85,2,11.33
1,1,200,86,2,11.33
1,1,200,87,2,11.33
1,1,200,88,2,11.33
1,1,200,89,2,11.33
1,1,200,90,2,11.33
1,1,200,91,2,11.33
1,1,200,92,2,11.33
1,1,200,93,2,11.33
1,1,200,94,2,11.33
1,1,200,95,2,11.33
1,1,200,96,2,11.33
1,1,200,97,2,11.33
1,1,200,98,2,11.33
1,1,200,99,3,19.93
1,1,200,100,3,18.71
1,1,200,101,3,18.05
1,1,200,102,4,27.27
1,1,200,103,4,25.93
1,1,200,104,4,25.25
1,1,200,105,4,24.89
1,1,200,106,4,24.70
1,1,200,107,4,24.60
1,1,200,108,4,24.55
1,1,200,109,4,24.52
1,1,200,110,4,24.51
1,1,200,111,4,24.50
1,1,200,112,4,24.50
1,1,200,113,4,24.49
1,1,200,114,4,24.49
1,1,200,115,4,24.49
