线路编号,线路名称,车辆ID,总上车乘客,总行程距离(m),总行程时间(s),车辆停车次数,车辆停车时间(s),车辆区间停车时间(s),车辆站点停靠时间(s),乘客站点总候车时间(s),乘客站点平均候车时间(s),乘客总停车时间(s),乘客区间总停车时间(s),乘客站点总停车时间(s)
4322,8路,700001,11,1138.57,290.80,2,94.30,81.30,13.00,19.00,19.00,841.70,731.70,110.00
4322,8路,700002,16,1138.77,265.70,2,68.80,46.80,22.00,543.30,90.55,817.40,608.40,209.00
4322,8路,700003,17,1138.84,257.90,1,68.60,44.60,24.00,727.70,103.96,764.20,535.20,229.00
4322,8路,700004,15,1138.95,228.90,1,39.60,19.60,20.00,444.90,88.98,424.20,235.20,189.00
4322,8路,700005,16,1138.38,206.00,0,22.00,0.00,22.00,549.60,91.60,209.00,0.00,209.00
4322,8路,700006,16,1138.89,320.70,2,124.00,102.00,22.00,543.00,90.50,1535.00,1326.00,209.00
4322,8路,700007,16,545.11,176.40,0,22.00,0.00,22.00,543.00,90.50,209.00,0.00,209.00
