统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,200001,22,16,小客车,4.09,61.90,61.90,0.00,997.95,3600.00
1,200002,32,19,大客车/公交车,12.10,50.80,50.58,0.00,153.02,10.89
1,200004,34,20,小客车,4.14,62.90,50.45,0.01,29.64,2.11
1,200008,39,15,小客车,4.35,67.00,62.25,0.00,62.59,3.62
1,200011,46,14,小客车,4.46,69.30,67.73,0.00,113.88,6.05
1,200013,54,15,小客车,4.15,63.00,62.50,0.00,147.98,8.52
1,200015,60,13,小客车,4.87,77.30,73.86,0.00,92.09,4.49
1,200016,65,14,小客车,4.50,70.00,68.52,0.00,100.78,5.30
1,200019,81,13,小客车,4.87,77.30,76.98,0.00,299.16,13.99
1,200022,88,14,小客车,4.37,67.30,66.79,0.00,146.67,7.91
