统计时段,起始时间(s),结束时间(s),采集时间(s),排队车数,排队长度(m)
1,1,200,1,0,0.00
1,1,200,2,0,0.00
1,1,200,3,0,0.00
1,1,200,4,0,0.00
1,1,200,5,0,0.00
1,1,200,6,0,0.00
1,1,200,7,0,0.00
1,1,200,8,0,0.00
1,1,200,9,0,0.00
1,1,200,10,0,0.00
1,1,200,11,0,0.00
1,1,200,12,0,0.00
1,1,200,13,0,0.00
1,1,200,14,0,0.00
1,1,200,15,0,0.00
1,1,200,16,0,0.00
1,1,200,17,0,0.00
1,1,200,18,0,0.00
1,1,200,19,0,0.00
1,1,200,20,0,0.00
1,1,200,21,0,0.00
1,1,200,22,0,0.00
1,1,200,23,0,0.00
1,1,200,24,0,0.00
1,1,200,25,0,0.00
1,1,200,26,0,0.00
1,1,200,27,0,0.00
1,1,200,28,0,0.00
1,1,200,29,1,4.54
1,1,200,30,1,4.54
1,1,200,31,1,4.54
1,1,200,32,1,4.54
1,1,200,33,1,4.54
1,1,200,34,1,4.54
1,1,200,35,1,4.54
1,1,200,36,1,4.54
1,1,200,37,1,4.54
1,1,200,38,1,4.54
1,1,200,39,1,4.54
1,1,200,40,1,4.54
1,1,200,41,1,4.54
1,1,200,42,1,4.54
1,1,200,43,1,4.54
1,1,200,44,1,4.54
1,1,200,45,1,4.54
1,1,200,46,1,4.54
1,1,200,47,1,4.54
1,1,200,48,1,4.54
1,1,200,49,1,4.54
1,1,200,50,1,4.54
1,1,200,51,1,4.54
1,1,200,52,1,4.54
1,1,200,53,1,4.54
1,1,200,54,1,4.54
1,1,200,55,1,4.54
1,1,200,56,1,4.54
1,1,200,57,1,4.54
1,1,200,58,1,4.54
1,1,200,59,1,4.54
1,1,200,60,2,11.83
1,1,200,61,2,10.73
1,1,200,62,2,10.26
1,1,200,63,2,10.13
1,1,200,64,2,10.08
1,1,200,65,2,10.07
1,1,200,66,2,10.06
1,1,200,67,2,10.06
1,1,200,68,2,10.06
1,1,200,69,3,17.54
1,1,200,70,3,16.02
1,1,200,71,3,15.35
1,1,200,72,3,15.16
1,1,200,73,3,15.10
1,1,200,74,3,15.08
1,1,200,75,0,0.00
1,1,200,76,0,0.00
1,1,200,77,0,0.00
1,1,200,78,0,0.00
1,1,200,79,0,0.00
1,1,200,80,0,0.00
1,1,200,81,0,0.00
1,1,200,82,0,0.00
1,1,200,83,0,0.00
1,1,200,84,0,0.00
1,1,200,85,0,0.00
1,1,200,86,0,0.00
1,1,200,87,0,0.00
1,1,200,88,0,0.00
1,1,200,89,0,0.00
1,1,200,90,0,0.00
1,1,200,91,0,0.00
1,1,200,92,0,0.00
1,1,200,93,0,0.00
1,1,200,94,0,0.00
1,1,200,95,0,0.00
1,1,200,96,0,0.00
1,1,200,97,0,0.00
1,1,200,98,0,0.00
1,1,200,99,0,0.00
1,1,200,100,0,0.00
1,1,200,101,0,0.00
1,1,200,102,0,0.00
1,1,200,103,0,0.00
1,1,200,104,0,0.00
1,1,200,105,0,0.00
1,1,200,106,0,0.00
1,1,200,107,0,0.00
1,1,200,108,0,0.00
1,1,200,109,0,0.00
1,1,200,110,0,0.00
1,1,200,111,0,0.00
1,1,200,112,0,0.00
1,1,200,113,0,0.00
1,1,200,114,0,0.00
1,1,200,115,0,0.00
